"","State or Territory of Residence","2012","2013","2014","2015","2016","2017","2004","2005","2006","2007","2008","2009","2010","2011","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"1","Total",757434,779929,653416,730259,753060,707265,537151,604280,702589,660477,1046539,743715,619913,694193,280623,227008,242063,233777,270101,308058,240252,314681,434107,488088,1044689,598225,463060,839944,888788,608205,573708,463204
"2","Alabama",2084,1811,1266,2834,2331,1045,734,795,1946,1343,1982,1775,2027,2439,664,506,646,653,590,798,598,719,954,860,1002,644,658,1132,1553,409,1276,1182
"3","Alaska",1186,1083,1076,964,972,1011,777,951,831,849,1145,1100,831,1115,577,509,622,490,607,463,793,530,648,675,4,757,995,633,668,710,929,745
"4","Arizona",13090,13165,11268,13748,11374,12462,6500,6785,9707,12091,24055,12377,10340,12784,3121,2788,2136,2562,2152,2090,3037,2548,3894,4059,6838,3767,4105,8737,10755,8245,6067,7225
"5","Arkansas",1605,1567,1671,1576,1809,1328,823,990,1133,1214,2330,1648,1275,1559,605,540,417,374,388,413,380,405,615,163,6,809,244,442,241,132,583,717
"6","California",158850,164792,140234,155979,151830,157364,145593,170489,152836,181684,297909,179754,129354,151183,105284,82607,65397,50286,61736,125661,52411,68100,118567,171285,378014,187432,154793,284071,300662,203415,149554,135815
"7","Colorado",7726,6263,5965,9423,8679,6104,6007,5681,5526,7829,11972,6813,7165,7805,2490,1878,2252,2535,1414,2004,1402,2732,3171,3753,5168,3560,3230,8552,6138,4233,5878,4834
"8","Connecticut",8332,9253,8336,9838,9317,7441,5957,8169,7231,4552,9589,10421,7452,8370,3650,2589,3209,3938,3895,4221,5070,6125,5460,6409,8122,8452,7351,8064,7100,5009,6076,4285
"9","Delaware",1456,1460,1175,1633,1386,1453,982,945,1187,1094,1425,1545,1829,1470,258,329,347,365,301,310,289,423,695,600,650,464,648,844,1281,697,570,707
"10","District of Columbia",1958,1854,1626,1684,1736,1944,882,939,1089,1334,1492,2188,1319,1016,817,385,696,832,613,569,786,773,1091,1496,1920,1098,1024,1621,1394,956,926,853
"11","Florida",100890,101773,79637,81960,88764,69485,43795,42999,90846,54563,128328,82788,67484,87309,20366,8041,15589,14216,22978,23281,21129,26628,35186,31372,123368,28768,30926,67567,68882,48752,44792,35170
"12","Georgia",17093,19534,15242,20794,18866,16461,6880,7903,19785,14181,20417,15408,18253,17761,1834,1856,2104,3235,2952,3414,2299,4185,5437,5418,6603,5958,6274,9717,12423,3229,11081,11075
"13","Guam",800,691,709,712,711,842,1052,682,873,1057,998,654,644,675,1274,1156,1297,1469,1146,1318,987,1131,1445,1464,NA,1458,1117,780,76,283,607,599
"14","Hawaii",3144,3494,2931,3698,3673,3491,2050,4663,5276,4521,5205,3744,3190,3450,4760,4070,3763,6426,5077,3955,4475,4960,4659,5174,6090,3994,4493,3600,4372,2885,2884,2291
"15","Idaho",1384,1305,1560,1427,1533,1994,864,1097,980,1261,2240,1674,1102,1473,288,199,230,122,481,247,208,255,299,336,NA,769,853,1028,437,357,58,56
"16","Illinois",28376,27706,26224,25722,26003,24933,29432,27739,30156,38735,45224,28112,26180,29133,18606,9809,6330,13761,19868,11637,10891,17394,17946,20694,48746,28096,16804,36742,39327,32390,32636,23425
"17","Indiana",4146,4369,4274,4686,5113,6420,2455,2650,3885,3652,5104,4261,3866,4085,1275,807,1148,806,1085,1014,1323,1395,1738,1430,678,2388,2404,1747,2750,2581,2779,2727
"18","Iowa",2255,2503,2000,2574,2805,2677,1314,234,805,2093,3503,2198,1858,1840,715,229,454,655,609,489,374,578,837,970,5,244,191,73,622,1058,1465,1123
"19","Kansas",2905,2761,2743,2830,3050,3152,2093,1814,2509,2406,4072,3129,2492,2687,1226,1268,1360,1119,899,681,911,1085,1059,1131,7,1733,2208,3461,2194,2343,1371,1898
"20","Kentucky",2686,3341,2663,2846,3054,3445,1307,1820,2049,2256,3093,2390,2398,2778,675,630,438,572,514,338,567,534,775,677,10,1074,586,1041,667,402,1987,1544
"21","Louisiana",2344,2543,2616,2956,2846,2160,1458,1700,1336,2240,3018,3402,2423,2496,2575,1406,2115,1847,1882,1145,1709,2016,1667,2714,3247,2415,2478,2701,1882,686,2109,1705
"22","Maine",941,988,909,1102,983,1039,548,772,802,728,924,729,839,999,318,354,214,377,342,280,400,584,473,639,41,343,544,340,390,367,515,427
"23","Maryland",16160,17752,13707,18390,19775,17729,12295,11503,14465,11613,23342,17099,16220,15790,5116,4180,3578,3884,5114,3663,4620,9864,9572,11251,1259,3691,9615,9699,4918,5414,13232,13857
"24","Massachusetts",22753,21404,21608,23554,24577,27739,16263,22685,22932,20952,28728,21748,21095,22812,6187,5219,4640,5928,5923,4810,7381,6574,14739,11803,14762,8158,10568,21672,23062,17632,18040,11472
