Domain,Project,Task,Details,Start,End,TimeZone,Duration,Decimal Duration
Standard,Hope,TV,,2019-10-14 17:51,2019-10-14 18:42,UTC-4:00,0:51,0.85
Standard,Hope,Homework,,2019-10-14 18:42,2019-10-14 19:27,UTC-4:00,0:45,0.75
Standard,Commute,Walk,,2019-10-14 19:27,2019-10-14 19:43,UTC-4:00,0:16,0.26666666666666666
Standard,APO,Meeting,,2019-10-14 19:43,2019-10-14 20:55,UTC-4:00,1:12,1.2
Standard,Personal,Email,,2019-10-14 20:55,2019-10-14 21:07,UTC-4:00,0:12,0.2
Standard,APO,Scouting,,2019-10-14 21:19,2019-10-14 21:28,UTC-4:00,0:09,0.15
Standard,Personal,Games,,2019-10-14 21:29,2019-10-14 21:36,UTC-4:00,0:07,0.11666666666666667
Standard,Personal,TV,,2019-10-14 21:49,2019-10-14 22:25,UTC-4:00,0:36,0.6
Standard,Personal,Games,,2019-10-14 22:25,2019-10-14 23:12,UTC-4:00,0:47,0.7833333333333333
Standard,Personal,TV,,2019-10-14 23:12,2019-10-14 23:31,UTC-4:00,0:19,0.31666666666666665
Standard,Personal,Sleep,,2019-10-14 23:31,2019-10-15 00:00,UTC-4:00,0:29,0.48333333333333334
Standard,Personal,Sleep,,2019-10-15 00:00,2019-10-15 07:48,UTC-4:00,7:48,7.8
Standard,Personal,Housework,,2019-10-15 07:48,2019-10-15 08:26,UTC-4:00,0:38,0.6333333333333333
Standard,Commute,Walk,,2019-10-15 08:26,2019-10-15 08:50,UTC-4:00,0:24,0.4
Standard,SchoolWork,SOM,,2019-10-15 08:50,2019-10-15 10:09,UTC-4:00,1:19,1.3166666666666667
Standard,Commute,Walk,,2019-10-15 10:10,2019-10-15 10:30,UTC-4:00,0:20,0.3333333333333333
Standard,SchoolWork,CS 465,,2019-10-15 10:30,2019-10-15 10:43,UTC-4:00,0:13,0.21666666666666667
Standard,APO,Scouting,,2019-10-15 10:43,2019-10-15 11:16,UTC-4:00,0:33,0.55
Standard,Personal,Food,,2019-10-15 11:22,2019-10-15 11:53,UTC-4:00,0:31,0.5166666666666667
Standard,SchoolWork,CS 465,,2019-10-15 11:55,2019-10-15 13:16,UTC-4:00,1:21,1.35
Standard,Commute,Walk,,2019-10-15 13:16,2019-10-15 13:29,UTC-4:00,0:13,0.21666666666666667
Standard,Personal,Bathroom,,2019-10-15 13:29,2019-10-15 13:32,UTC-4:00,0:03,0.05
Standard,SchoolWork,DS 300,,2019-10-15 13:32,2019-10-15 14:51,UTC-4:00,1:19,1.3166666666666667
Standard,Commute,Walk,,2019-10-15 14:51,2019-10-15 15:02,UTC-4:00,0:11,0.18333333333333332
Standard,Commute,Bus,,2019-10-15 15:02,2019-10-15 15:24,UTC-4:00,0:22,0.36666666666666664
Standard,Work,ARL,,2019-10-15 15:24,2019-10-15 17:09,UTC-4:00,1:45,1.75
Standard,Commute,Bus,,2019-10-15 17:09,2019-10-15 17:26,UTC-4:00,0:17,0.2833333333333333
Standard,Commute,Walk,,2019-10-15 17:26,2019-10-15 17:34,UTC-4:00,0:08,0.13333333333333333
Standard,Work,UTA,,2019-10-15 17:34,2019-10-15 18:49,UTC-4:00,1:15,1.25
Standard,Personal,Food,,2019-10-15 18:49,2019-10-15 18:57,UTC-4:00,0:08,0.13333333333333333
Standard,Commute,Walk,,2019-10-15 18:57,2019-10-15 19:12,UTC-4:00,0:15,0.25
Standard,Personal,Food,,2019-10-15 19:13,2019-10-15 19:22,UTC-4:00,0:09,0.15
Standard,Personal,Food,,2019-10-15 19:22,2019-10-15 20:09,UTC-4:00,0:47,0.7833333333333333
Standard,Hope,TV,,2019-10-15 20:09,2019-10-15 20:21,UTC-4:00,0:12,0.2
Standard,SchoolWork,Witches,,2019-10-15 20:22,2019-10-15 20:36,UTC-4:00,0:14,0.23333333333333334
Standard,Hope,TV,,2019-10-15 20:36,2019-10-15 20:44,UTC-4:00,0:08,0.13333333333333333
Standard,Personal,Email,,2019-10-15 20:44,2019-10-15 20:59,UTC-4:00,0:15,0.25
Standard,SchoolWork,CS 461,,2019-10-15 20:59,2019-10-15 21:20,UTC-4:00,0:21,0.35
Standard,Work,UTA,,2019-10-15 21:25,2019-10-15 21:41,UTC-4:00,0:16,0.26666666666666666
Standard,Hope,TV,,2019-10-15 21:41,2019-10-15 23:31,UTC-4:00,1:50,1.8333333333333333
Standard,Commute,Walk,,2019-10-15 23:31,2019-10-15 23:45,UTC-4:00,0:14,0.23333333333333334
Standard,Personal,Housework,,2019-10-15 23:45,2019-10-16 00:00,UTC-4:00,0:15,0.25
Standard,Personal,Housework,,2019-10-16 00:00,2019-10-16 00:01,UTC-4:00,0:01,0.016666666666666666
Standard,Personal,Sleep,,2019-10-16 00:01,2019-10-16 06:39,UTC-4:00,6:38,6.633333333333334
Standard,Personal,Bathroom,,2019-10-16 06:39,2019-10-16 07:25,UTC-4:00,0:46,0.7666666666666667
Standard,Personal,Housework,,2019-10-16 07:25,2019-10-16 07:33,UTC-4:00,0:08,0.13333333333333333
Standard,Commute,Bus,,2019-10-16 07:33,2019-10-16 07:58,UTC-4:00,0:25,0.4166666666666667
Standard,Work,ARL,,2019-10-16 07:58,2019-10-16 09:37,UTC-4:00,1:39,1.65
Standard,Commute,Bus,,2019-10-16 09:37,2019-10-16 10:03,UTC-4:00,0:26,0.43333333333333335
Standard,Personal,Bathroom,,2019-10-16 10:03,2019-10-16 10:07,UTC-4:00,0:04,0.06666666666666667
Standard,APO,Scouting,,2019-10-16 10:07,2019-10-16 10:37,UTC-4:00,0:30,0.5
Standard,Commute,Walk,,2019-10-16 10:37,2019-10-16 10:45,UTC-4:00,0:08,0.13333333333333333
Standard,Personal,Food,,2019-10-16 10:45,2019-10-16 11:14,UTC-4:00,0:29,0.48333333333333334
Standard,Personal,Email,,2019-10-16 11:14,2019-10-16 11:24,UTC-4:00,0:10,0.16666666666666666
Standard,Personal,Programming Projects,,2019-10-16 11:24,2019-10-16 11:24,UTC-4:00,0:00,0.009166666666666667
